course_title,url,site,star_rating
Curso Definitivo de Banca de Inversión,https://www.udemy.com/ultimate-investment-banking-course/,Udemy,1
Curso completo de GST y certificación: desarrolle su práctica de CA,https://www.udemy.com/goods-and-services-tax/,Udemy,3
Modelado financiero para analistas y consultores de negocios,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,Udemy,2
Análisis financiero en Excel 2017: De principiante a experto,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,Udemy,3
Cómo maximizar sus ganancias al operar con opciones,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,Udemy,3
Operar con acciones de centavo: una guía para todos los niveles en 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,Udemy,1
Inversión y trading para principiantes: Cómo dominar los gráficos de precios,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,Udemy,3
Operar con patrones de gráficos bursátiles para obtener ganancias inmediatas y explosivas,https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,Udemy,3
Operaciones con opciones 3: Método avanzado para obtener ganancias y éxito en acciones,https://www.udemy.com/day-trading-stock-options-3/,Udemy,3
La única estrategia de inversión que necesita para su jubilación,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,Udemy,3
Secretos de los profesionales del trading de Forex con AWS de Amazon,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,Udemy,3
Comercio de opciones con flujo de dinero,https://www.udemy.com/trading-options-using-money-flow/,Udemy,1
Gestión financiera de riesgos y rentabilidad de los valores,https://www.udemy.com/risk-and-return-finance/,Udemy,1
"Curso de trading de Forex: Trabaje con inteligencia, no con esfuerzo. Resultados comprobados.",https://www.udemy.com/the-complete-trading-course/,Udemy,3
Trading algorítmico con Python: trading basado en sentimientos y noticias,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,Udemy,3
Venta en corto: aprenda a vender acciones antes de la caída,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,Udemy,1
Análisis técnico básico: aprenda la estructura del mercado,https://www.udemy.com/learn-basic-technical-analysis/,Udemy,1
El curso completo de trading con patrones gráficos: un enfoque probado,https://www.udemy.com/make-money-trading-stocks-from-home/,Udemy,3
¡7 errores mortales al invertir que reducirán tus ganancias!,https://www.udemy.com/7-deadly-mistakes-of-investing/,Udemy,3
Estados financieros simplificados,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,Udemy,1
Cómo ganar en Forex con ejemplos de operaciones en vivo,https://www.udemy.com/forexmacross/,Udemy,1
Operadores de Forex: ¡Crea tu primer robot de trading! ¡Sin programación!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,Udemy,2
Cree un negocio desde casa operando con acciones hoy en 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,Udemy,1
Introducción a la contabilidad: Dominio de los estados financieros,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,Udemy,1
"El curso completo de Ethereum: obtén 0,01 Ether en tu billetera",https://www.udemy.com/ethereum/,Udemy,3
De principiante a profesional en PowerPoint: capacitación completa en PowerPoint,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,Udemy,3
Inversión 101: El curso completo de inversión en línea,https://www.udemy.com/online-investing-guide/,Udemy,3
Cree su propio fondo de cobertura: opere con acciones como un gestor de fondos,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,Udemy,1
Aprenda MQL5: Cree un robot de cobertura de 8 divisas (MetaTrader 5),https://www.udemy.com/learn-mql5/,Udemy,1
